"event_id","external_id","bill_year_month","event_type","status_cd","reason_cd","event_data","create_ts","message_id","billing_account_num"
"20220614085738_286136205_933",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 06:57:58,1040,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,2,KB,0,104857600,PDA,0,0,2022-06-14 08:57:38,933,2022-06-14 08:57:38,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,935,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,N,-,RCTORrater#500220220614085626000391022.csv,,843559229,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614085738_286136205_933,8398317917406973488","2022-06-14 09:09:45.587","4671167574386268",908628
"20220614105753_286136205_936",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 08:57:38,662,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,1,KB,0,104857600,PDA,0,0,2022-06-14 10:57:53,936,2022-06-14 10:57:53,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,938,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,N,-,RCTORrater#500320220614105626000391050.csv,,843585449,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614105753_286136205_936,5502611039551180297","2022-06-14 11:10:05.789","4671188284255840",908628
"20220614005606_286136205_939",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 10:57:53,440,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,1,KB,0,104857600,PDA,0,0,2022-06-14 12:56:06,939,2022-06-14 12:56:06,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,941,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,N,-,RCTORrater#500120220614125126000391072.csv,,843620614,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614005606_286136205_939,7945725124903651799","2022-06-14 13:05:42.925","4671214027134960",908628
"20220614145617_286136205_942",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 12:56:06,7503934,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,7329,KB,0,104857600,PDA,0,17.16,2022-06-14 14:56:17,942,2022-06-14 14:56:17,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,944,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,Y,-,RCTORrater#500320220614145126000391097.csv,,843680831,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614145617_286136205_942,6220247776581143141","2022-06-14 15:03:43.2","4671246020219463",908628
"20220614165611_286136205_945",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 14:56:17,36043247,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,35199,KB,0,104857600,PDA,0,44.37,2022-06-14 16:56:11,945,2022-06-14 16:56:11,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,947,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,N,-,RCTORrater#500220220614165126000391117.csv,,843756211,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614165611_286136205_945,7026129038092815911","2022-06-14 17:05:56.101","4671276206105238",908628
"20220614185629_286136205_948",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 16:56:11,11867000,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,11589,KB,0,104857600,PDA,0,21.32,2022-06-14 18:56:29,948,2022-06-14 18:56:29,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,950,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,N,-,RCTORrater#500020220614185626000391144.csv,,843842808,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614185629_286136205_948,5803953834732961797","2022-06-14 19:10:23.159","4671315605567918",908628
"20220614205429_286136205_951",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 18:56:29,28263272,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,27601,KB,0,104857600,PDA,0,36.95,2022-06-14 20:54:29,951,2022-06-14 20:54:29,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,953,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,N,-,RCTORrater#500220220614205126000391165.csv,,843916183,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614205429_286136205_951,1357810558868409786","2022-06-14 21:04:20.846","3738607476234012",908628
"20220614225348_286136205_954",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 20:54:29,23262644,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,22718,KB,0,104857600,PDA,0,32.19,2022-06-14 22:53:49,954,2022-06-14 22:53:48,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,956,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,28995398,-1,N,N,-,RCTORrater#500120220614225126000391192.csv,,843993564,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220614225348_286136205_954,7721991374636925292","2022-06-14 23:06:24.162","4671378402564006",908628
"20220615005351_286136205_957",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-14 22:53:48,105450,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,103,KB,0,104857600,PDA,0,3,2022-06-15 00:53:51,957,2022-06-15 00:53:51,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,959,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,54608198,-1,N,N,-,RCTORrater#500320220615005126000391217.csv,,844060387,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220615005351_286136205_957,746833205375224344","2022-06-15 01:06:15.408","4671401409977348",908628
"20220615025514_286136205_960",13754892,202207,"1","SUCCESS",NULL,"286136205,96.1.138.23,3580989710676126,302220014823485,96.1.138.22,302220,8,Data,10103,sp.telus.com,-1,2022-06-15 00:53:51,3306,B,4038266119,S13754892,S13754892,MST,1,1296395,277345,2022-04-14 06:00:00,9999-12-31 07:00:00,4,KB,0,104857600,PDA,0,0,2022-06-15 02:55:14,960,2022-06-15 02:55:14,KB,6,0,2022,07,43,XSDACORPO,XPCCOM30,,PCS,A908628,S13754892,,Telus,wisp,IPDR7S,WISP7,PDA,SA,962,,CAN,2,0,544998416,0,2,0,2022-06-14 06:00:00,2022-07-14 05:59:59,MONTHLY,SFG_WISP_1_11_6_7_8,CAD_CORPDATA,30000,0,CAN,0,-1,-1,-1,11224,54608198,-1,N,N,-,RCTORrater#500120220615025126000391240.csv,,844113317,CANTS,UNKNOWN,UNKNOWN,CA,07,2022,,,""Corporate Complete 30"",""Entreprise Compl?te 30"",20220615025514_286136205_960,4299293016672914743","2022-06-15 03:06:17.347","4671428639752943",908628
